TweetId,TweetUsername,TweetText,TweetDate,Precision,Sentiment,,,,
1.01E+18,jmbunyol,Mai hauria pensat que la careta de la nena d' #Hereditary poguÃ©s donar tant de joc en una revetlla de Sant Joan...,2018-06-23 23:59:35+00:00,0,,,hereditary,,
1.01E+18,xxoKarina,Hereditary was such a fucking trip,2018-06-23 23:58:39+00:00,0,,,,,
1.01E+18,runnain,Wasn't aware that Deutschbaggery was hereditary!,2018-06-23 23:58:35+00:00,0,,,,,
1.01E+18,santafalha,To com uma puta vontade de ir no cinema assistir hereditary mas sou cagona demais,2018-06-23 23:57:42+00:00,1,1,,,,
1.01E+18,Picachures,are any chole friends down to see hereditary any day from wed-fri 0_0,2018-06-23 23:57:34+00:00,1,1,,,,
1.01E+18,mbirdini,Hereditary... holy shit I havenâ€™t been that on edge in a long time.,2018-06-23 23:56:25+00:00,1,0,,,,
1.01E+18,thatjuliamiele,You talking about Hereditary? Because I did not like that movie at all.,2018-06-23 23:56:18+00:00,1,0,,,,
1.01E+18,FeistySlytherin,Hereditary part 2.,2018-06-23 23:56:10+00:00,1,1,,,,
1.01E+18,Damo96_,Hereditary's the scariest fuckin film av ever seen,2018-06-23 23:56:06+00:00,1,2,,,,
1.01E+18,era_marku,Hereditary,2018-06-23 23:55:56+00:00,1,1,,,,
1.01E+18,tastefuldolan,hereditary was the shittiest movie ever iâ€™m never listening to twitter ever again,2018-06-23 23:55:27+00:00,1,0,,,,
1.01E+18,scottgalina,JUST SAW HEREDITARY WHAT THE FUCK HAHAHAH HAPPY PRIDE,2018-06-23 23:55:26+00:00,1,2,,,,
1.01E+18,Elizabeth_Calo,I am going to see Hereditary and First Reformed next week and I know those two films are probably going to fuck me up. Really looking forward to seeing First Reformed.,2018-06-23 23:54:55+00:00,1,0,,,,
1.01E+18,Ricky_Slick_27,Come thru to my pad and watch Hereditary with me rn anyone ? #nopussiesallowed #horrormovietime,2018-06-23 23:54:51+00:00,1,1,,,,
1.01E+18,Noolek_WP,à¸_à¸¢à¸_à_ˆà¸”à¸µà_?à¸Åà_‡à¸«à¸_à¸?...à_ƒà¸ˆà_„à¸¡à_ˆà¸_à¸_à¸?à¸_à¸¢à¸_à_ˆà¸”à¸µà_†à_€à¸›à¸¥à¸µà_ˆà¸¢à¸™à_„à¸›à_„à¸¡à_ˆà¸£à¸_à_‰à¸—à¸_à_„à¸¡ à¸_à¸¢à¸_à_ˆà¸”à¸µà_†à¸Åà_‡à¸ˆà¸_à¸‰à¸±à¸™à¸_à¸¥à¸_à¸”à¸•à¸£à¸‡à_„à¸«à¸?à¸„à¸¶à_„à¸”à_‹à¸ˆà¸_à_Åà¸_à¸_à¸™à¸µà_?à¸_à_ˆà¸_à¸_à¸Åà¸Åà¸±à¸™à¸ªà¸±à¸Åà¸„à¸?#hereditaryâÅ?âÅ?2018-06-23 23:54:48+00:00,,0,,,,,
1.01E+18,katkrayzay,"Seeing â€œHereditaryâ€?omg. (@Alamo Drafthouse Raleigh in Raleigh, NC) https://www.swarmapp.com/c/20ph9Uvg6Zg",2018-06-23 23:53:29+00:00,1,1,,,,
1.01E+18,LucidLusin,Hereditary sucked donkey balls.,2018-06-23 23:53:06+00:00,1,0,,,,
1.01E+18,Iunasolis,i feel like a wandering ghost after watching hereditary,2018-06-23 23:52:58+00:00,1,2,,,,
1.01E+18,joshthedaly,Don't know what other people in the thread are on but Hereditary was really great - easily one of the scarier and more artful horror films I've seen this decade.,2018-06-23 23:52:57+00:00,1,2,,,,
1.01E+18,KingCocoaButter,Heard a lot of good things about #Hereditary and so I'm excited cause I'm about to see It!,2018-06-23 23:52:31+00:00,1,2,,,,
1.01E+18,kimbrastanbato,HEREDITARY HAN SOLO EDITION BECAUSE STAR WARS ALSO INCLUDES THE CONCEPT OF EVIL PASSING DOWN FROM GENERATION TO GENERATION EDITION,2018-06-23 23:52:29+00:00,1,1,,,,
1.01E+18,Luisjoargue,Lo que no tienes que hacer si vas a ver Â«HereditaryÂ» http://www.abc.es/play/cine/noticias/abci-no-tienes-hacer-si-hereditary-201806230105_noticia.html#ns_campaign=amp-rrss-inducido&ns_mchannel=abc-es&ns_source=tw&ns_linkname=noticia.foto&ns_fee=0 â€?via @abc_es,2018-06-23 23:51:32+00:00,0,,,,,
1.01E+18,DullBran,Theyâ€™ve been pumping out more and more the past few years and the majority have been overwhelmingly good. Hereditary might be my favorite horror movie of all time.,2018-06-23 23:51:12+00:00,1,2,,,,
1.01E+18,AntonioGil_Jogo,Cool but where's hereditary?,2018-06-23 23:51:03+00:00,0,,,,,
1.01E+18,gyllenhamm,Hereditary felt like a fever dream,2018-06-23 23:49:35+00:00,1,2,,,,
1.01E+18,ifuckslugs,the little girl in hereditary looks exactly like one of my friends from middle school oim dying,2018-06-23 23:49:23+00:00,1,1,,,,
1.01E+18,yulsxvi,i'm expecting #Hereditary to be in every cinema by next week... amputa dito walang paki,2018-06-23 23:49:17+00:00,1,2,,,,
1.01E+18,ashleyfeinberg,I just saw Hereditary and now I'm going to have a panic attack,2018-06-23 23:48:57+00:00,1,1,,,,
1.01E+18,blingzzx0,Well from ppl I know who saw it said it was great (for hereditary I was going based on reviews and shit I saw posted) but maybe Iâ€™ll just wait to see it on bootleg. But yes tysm!!,2018-06-23 23:48:54+00:00,1,1,,,,
1.01E+18,Yiguermo,Han estrenado #hereditary al fin una peli sobre el Presidente del Gobierno Vasco,2018-06-23 23:48:39+00:00,0,,,,,
1.01E+18,ARRAUTXES,Muy buena peli Lo que no tienes que hacer si vas a ver Â«HereditaryÂ» http://www.abc.es/play/cine/noticias/abci-no-tienes-hacer-si-hereditary-201806230105_noticia.html#ns_campaign=amp-rrss-inducido&ns_mchannel=abc-es&ns_source=tw&ns_linkname=noticia.foto&ns_fee=0 â€?vÃ_a @abc_es,2018-06-23 23:48:30+00:00,1,1,,,,
1.01E+18,m1nt9reen,"Ok Iâ€™ve just seen #Hereditary and I get this joke now but surely itâ€™s the other way around? Also I returned to find my kitchen full of ants, but I guess itâ€™s better than flies",2018-06-23 23:48:05+00:00,1,1,,,,
1.01E+18,abbyymacedo,So hereditary was a dumb ass movie,2018-06-23 23:47:47+00:00,1,0,,,,
